id,object,gripper_finger_1_joint,gripper_finger_2_joint,direction,qw,qx,qy,qz,pos-x,pos-y,pos-z,eps_l1,vol_l1,
0,corn_flakes_package,0.6,-0.6,SIDE,0.05454356,0.705,0.05454356,-0.705,195,20,80,0.01,0.0005,0
1,corn_flakes_package,0.6,-0.6,SIDE,0.05454356,0.705,0.05454356,-0.705,195,20,120,0.01,0.0005,1
2,corn_flakes_package,0.6,-0.6,SIDE,0.05454356,0.705,0.05454356,-0.705,195,20,160,0.01,0.0005,2
3,corn_flakes_package,0.6,-0.6,SIDE,0.05454356,0.705,0.05454356,-0.705,195,20,200,0.01,0.0005,3
4,corn_flakes_package,0.6,-0.6,SIDE,0.705,-0.05454356,-0.705,-0.05454356,195,-20,80,0.01,0.0005,4
5,corn_flakes_package,0.6,-0.6,SIDE,0.705,-0.05454356,-0.705,-0.05454356,195,-20,120,0.01,0.0005,5
6,corn_flakes_package,0.6,-0.6,SIDE,0.705,-0.05454356,-0.705,-0.05454356,195,-20,160,0.01,0.0005,6
7,corn_flakes_package,0.6,-0.6,SIDE,0.705,-0.05454356,-0.705,-0.05454356,195,-20,200,0.01,0.0005,7
8,corn_flakes_package,0.6,-0.6,SIDE,0.705,-0.05454356,0.705,0.05454356,-195,-20,80,0.01,0.0005,8
9,corn_flakes_package,0.6,-0.6,SIDE,0.705,-0.05454356,0.705,0.05454356,-195,-20,120,0.01,0.0005,9
10,corn_flakes_package,0.6,-0.6,SIDE,0.705,-0.05454356,0.705,0.05454356,-195,-20,160,0.01,0.0005,10
11,corn_flakes_package,0.6,-0.6,SIDE,0.705,-0.05454356,0.705,0.05454356,-195,-20,200,0.01,0.0005,11
12,corn_flakes_package,0.6,-0.6,SIDE,0.05454356,0.705,-0.05454356,0.705,-195,20,80,0.01,0.0005,12
13,corn_flakes_package,0.6,-0.6,SIDE,0.05454356,0.705,-0.05454356,0.705,-195,20,120,0.01,0.0005,13
14,corn_flakes_package,0.6,-0.6,SIDE,0.05454356,0.705,-0.05454356,0.705,-195,20,160,0.01,0.0005,14
15,corn_flakes_package,0.6,-0.6,SIDE,0.05454356,0.705,-0.05454356,0.705,-195,20,200,0.01,0.0005,15
16,corn_flakes_package,0.6,-0.6,SIDE,0.07740155,0.997,0,0,-20,20,390,0.01,0.0005,16
17,corn_flakes_package,0.6,-0.6,SIDE,0.07740155,0.997,0,0,0,20,390,0.01,0.0005,17
18,corn_flakes_package,0.6,-0.6,SIDE,0.07740155,0.997,0,0,20,20,390,0.01,0.0005,18
19,corn_flakes_package,0.6,-0.6,SIDE,0,0,0.997,0.07740155,-20,-21,390,0.01,0.0005,19
20,corn_flakes_package,0.6,-0.6,SIDE,0,0,0.997,0.07740155,0,-21,390,0.01,0.0005,20
21,corn_flakes_package,0.6,-0.6,SIDE,0,0,0.997,0.07740155,20,-21,390,0.01,0.0005,21
22,corn_flakes_package,0.6,-0.6,SIDE,0.997,-0.07740155,0,0,-20,-21,-105,0.01,0.0005,22
23,corn_flakes_package,0.6,-0.6,SIDE,0.997,-0.07740155,0,0,0,-21,-105,0.01,0.0005,23
24,corn_flakes_package,0.6,-0.6,SIDE,0.997,-0.07740155,0,0,20,-21,-105,0.01,0.0005,24
25,corn_flakes_package,0.6,-0.6,SIDE,0,0,-0.07740155,0.997,-20,21,-105,0.01,0.0005,25
26,corn_flakes_package,0.6,-0.6,SIDE,0,0,-0.07740155,0.997,0,21,-105,0.01,0.0005,26
27,corn_flakes_package,0.6,-0.6,SIDE,0,0,-0.07740155,0.997,20,21,-105,0.01,0.0005,27
